Year,Job Category,Job Title,Salary (USD),Country Code,Location Group,Experience Level,Employment Type,Work Model
2023,Data Engineer,Data Engineer,100000,United States,Global,Mid-level,Full-time,On-site
2023,ML/AI Engineer,Machine Learning Engineer,162240,United States,Global,Entry-level,Full-time,On-site
2023,ML/AI Engineer,Machine Learning Engineer,47840,United States,Global,Entry-level,Full-time,On-site
2023,Data Scientist,Data Scientist,205500,United States,Global,Senior-level,Full-time,On-site
2023,Data Scientist,Data Scientist,128500,United States,Global,Senior-level,Full-time,On-site
2023,Data Architect,Data Architect,164000,United States,Global,Senior-level,Full-time,On-site
2023,Data Architect,Data Architect,117000,United States,Global,Senior-level,Full-time,On-site
2023,ML/AI Engineer,AI Engineer,142352,United States,Global,Senior-level,Full-time,On-site
2023,ML/AI Engineer,AI Engineer,95325,United States,Global,Senior-level,Full-time,On-site
2023,ML/AI Engineer,Machine Learning Engineer,247500,United States,Global,Mid-level,Full-time,On-site
2023,ML/AI Engineer,Machine Learning Engineer,172200,United States,Global,Mid-level,Full-time,On-site
2023,Data Analyst,Data Analyst,134000,United States,Global,Mid-level,Full-time,Remote
2023,Data Analyst,Data Analyst,90000,United States,Global,Mid-level,Full-time,Remote
2023,Data Engineer,Data Engineer,204000,United States,Global,Senior-level,Full-time,On-site
2023,Data Engineer,Data Engineer,163200,United States,Global,Senior-level,Full-time,On-site
2023,Data Architect,Data Architect,168000,United States,Global,Senior-level,Full-time,Remote
2023,Data Architect,Data Architect,143000,United States,Global,Senior-level,Full-time,Remote
2023,Data Scientist,Data Scientist,142352,United States,Global,Senior-level,Full-time,On-site
2023,Data Scientist,Data Scientist,95325,United States,Global,Senior-level,Full-time,On-site
2023,Data Analyst,Data Analyst,105000,United States,Global,Senior-level,Full-time,Remote
2023,Data Analyst,Data Analyst,100000,United States,Global,Senior-level,Full-time,Remote
2023,Data Engineer,Data Integration Engineer,150000,United States,Global,Senior-level,Full-time,On-site
2023,Data Engineer,Data Integration Engineer,125000,United States,Global,Senior-level,Full-time,On-site
2023,Data Analyst,Research Analyst,131000,United States,Global,Entry-level,Full-time,On-site
2023,Data Analyst,Research Analyst,54400,United States,Global,Entry-level,Full-time,On-site
2023,Data Analyst,Data Management Analyst,120000,United States,Global,Entry-level,Full-time,On-site
2023,Data Analyst,Data Management Analyst,50000,United States,Global,Entry-level,Full-time,On-site
2023,Data Engineer,Data Engineer,170000,United States,Global,Senior-level,Full-time,On-site
2023,Data Engineer,Data Engineer,120000,United States,Global,Senior-level,Full-time,On-site
2023,Data Scientist,Data Scientist,359170,United States,Global,Senior-level,Full-time,On-site
2023,Data Scientist,Data Scientist,295490,United States,Global,Senior-level,Full-time,On-site
2023,Data Analyst,Data Analyst,102000,United States,Global,Entry-level,Full-time,Remote
2023,Data Analyst,Data Analyst,92000,United States,Global,Entry-level,Full-time,Remote
2023,Data Analyst,Business Intelligence Analyst,132567,United States,Global,Entry-level,Full-time,On-site
2023,Data Analyst,Business Intelligence Analyst,96412,United States,Global,Entry-level,Full-time,On-site
2023,Data Engineer,Data Engineer,230000,United States,Global,Senior-level,Full-time,On-site
2023,Data Engineer,Data Engineer,110000,United States,Global,Mid-level,Full-time,Remote
2023,Data Engineer,Data Engineer,90000,United States,Global,Mid-level,Full-time,Remote
2023,Data Scientist,Data Scientist,172800,United States,Global,Senior-level,Full-time,Remote
2023,Data Scientist,Data Scientist,110000,United States,Global,Senior-level,Full-time,Remote
2023,Data Scientist,Research Scientist,135842,United States,Global,Senior-level,Full-time,On-site
2023,Data Scientist,Research Scientist,98794,United States,Global,Senior-level,Full-time,On-site
2023,ML/AI Engineer,Machine Learning Engineer,331640,United States,Global,Senior-level,Full-time,On-site
2023,ML/AI Engineer,Machine Learning Engineer,267720,United States,Global,Senior-level,Full-time,On-site
2023,Other,Research Engineer,266450,United States,Global,Senior-level,Full-time,On-site
2023,Other,Research Engineer,177700,United States,Global,Senior-level,Full-time,On-site
2023,Other,Research Engineer,350000,United States,Global,Entry-level,Full-time,On-site
2023,Other,Research Engineer,250000,United States,Global,Entry-level,Full-time,On-site
2023,ML/AI Engineer,ML Engineer,155000,United States,Global,Mid-level,Full-time,On-site
2023,ML/AI Engineer,ML Engineer,125000,United States,Global,Mid-level,Full-time,On-site
2023,Data Scientist,Research Scientist,278700,United States,Global,Senior-level,Full-time,On-site
2023,Data Scientist,Research Scientist,159300,United States,Global,Senior-level,Full-time,On-site
2023,ML/AI Engineer,AI Engineer,171000,United States,Global,Mid-level,Full-time,On-site
2023,ML/AI Engineer,AI Engineer,151000,United States,Global,Mid-level,Full-time,On-site
2023,Other,BI Developer,100000,United States,Global,Mid-level,Full-time,Remote
2023,Other,BI Developer,80000,United States,Global,Mid-level,Full-time,Remote
2023,Data Engineer,Data Engineer,174990,United States,Global,Senior-level,Full-time,Remote
2023,Data Engineer,Data Engineer,132624,United States,Global,Senior-level,Full-time,Remote
2023,Other,Data Visualization Specialist,166000,United States,Global,Mid-level,Full-time,On-site
2023,Other,Data Visualization Specialist,73100,United States,Global,Mid-level,Full-time,On-site
2023,ML/AI Engineer,Machine Learning Engineer,212000,United States,Global,Senior-level,Full-time,On-site
2023,ML/AI Engineer,Machine Learning Engineer,93300,United States,Global,Senior-level,Full-time,On-site
2023,Data Architect,Data Architect,210100,United States,Global,Senior-level,Full-time,On-site
2023,Data Architect,Data Architect,95500,United States,Global,Senior-level,Full-time,On-site
2023,Data Engineer,Data Engineer,184600,United States,Global,Senior-level,Full-time,On-site
2023,Data Engineer,Data Engineer,99400,United States,Global,Senior-level,Full-time,On-site
2023,Other,Business Intelligence Engineer,205000,United States,Global,Senior-level,Full-time,On-site
2023,Other,Business Intelligence Engineer,155400,United States,Global,Senior-level,Full-time,On-site
2023,Data Scientist,Data Scientist,169000,United States,Global,Mid-level,Full-time,On-site
2023,Data Scientist,Data Scientist,105500,United States,Global,Mid-level,Full-time,On-site
2023,Data Analyst,Data Analyst,90500,United States,Global,Mid-level,Full-time,On-site
2023,Data Analyst,Data Analyst,42400,United States,Global,Mid-level,Full-time,On-site
2023,Data Scientist,Data Scientist,234000,United States,Global,Senior-level,Full-time,Remote
2023,Data Scientist,Data Scientist,146000,United States,Global,Senior-level,Full-time,Remote
2023,Other,Research Engineer,128167,United States,Global,Mid-level,Full-time,On-site
2023,Other,Research Engineer,85445,United States,Global,Mid-level,Full-time,On-site
2023,Data Scientist,Data Scientist,93400,United States,Global,Senior-level,Full-time,On-site
2023,Data Analyst,BI Analyst,172300,United States,Global,Mid-level,Full-time,On-site
2023,Data Analyst,BI Analyst,86100,United States,Global,Mid-level,Full-time,On-site
2023,Data Engineer,Data Engineer,138000,United States,Global,Mid-level,Full-time,Remote
2023,Data Engineer,Data Engineer,86000,United States,Global,Mid-level,Full-time,Remote
2023,Data Analyst,Research Analyst,179000,United States,Global,Entry-level,Full-time,On-site
